Carimbo de data/hora,  Código do participante: invente 3 letras + 2 números e anote no caderno,"Numa sala qualquer, quantas pessoas são necessárias para que a chance de haver duas com o mesmo aniversário passe de 50%?","Só o dia do mês, o número de 1 a 31.
Quantas pessoas até 50% de chance de duas coincidirem?",Sistema operacional principal  ,Linguagem que mais usa hoje  ,  Editor ou IDE principal  ,  Tema da interface  ,  Como você chega ao campus  ,Sua confiança em programação hoje,Com que frequência usa o terminal  ,  Turno em que você mais estuda  ,Dia do mês do seu aniversário  ,Mês do seu aniversário  ,Quantas abas estão abertas no seu navegador AGORA  ,Em quantas linguagens você já escreveu ao menos um programa  ,Quantas letras tem seu primeiro nome  ,Em quantas disciplinas você está matriculado neste semestre  ,"Tempo de deslocamento de casa até o campus, em minutos  ",Quantas horas você dormiu na última noite  ,Seu tempo de reação médio em ms (faça 5 tentativas em: humanbenchmark.com/tests/reactiontime e informe a média)  
25/08/2026 18:58:50,IEE32,731,32,Windows,Python,VS Code,Escuro,Carro,2,Sempre,Noite,20,04,47,5,7,6,7,6,312
25/08/2026 19:33:57,lpf22,23,7,Windows,Python,VS Code,Escuro,A pé,3,Às vezes,Manhã,28,07,4,4,7,7,3,6,328
25/08/2026 20:46:10,FPR12,20,5,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Noite,12,06,2,3,6,3,10,8,367
25/08/2026 20:48:51,sbg26,188,16,Windows,Python,Outro,Escuro,A pé,3,Frequentemente,Noite,26,04,8,4,7,6,25,6,246
25/08/2026 20:49:11,LVF23,31,7,Windows,Python,VS Code,Escuro,moto,4,Sempre,Manhã,18,06,2,7,5,6,15,6,365
25/08/2026 20:49:25,EZF56,366,32,Linux,Java,VS Code,Escuro,A pé,5,Às vezes,Tarde,25,02,1,2,8,4,25,6,318
25/08/2026 20:49:34,Lee37,364,30,Windows,Python,VS Code,Escuro,Carro,3,Frequentemente,Noite,14,2,2,3,10,4,15,8,1242
25/08/2026 20:55:42,erg23,40,16,Windows,Java,VS Code,Escuro,A pé,4,Frequentemente,Tarde,9,6,10,5,8,7,20,5,4784
25/08/2026 20:50:00,MTM03,100,62,Linux,Java,VS Code,Escuro,Ônibus,4,Frequentemente,Noite,26,12,5,4,5,5,10,7,377
25/08/2026 20:50:14,LLM98,183,16,Windows,Python,VS Code,Escuro,moto,4,Frequentemente,Noite,02,10,9,8,5,3,15,8,394
25/08/2026 20:50:18,cku45,300,50,Linux,Python,VS Code,Escuro,Bicicleta,3,Frequentemente,Tarde,7,6,25,4,7,6,20,5,268
25/08/2026 20:50:41,ery47,183,16,Windows,Java,VS Code,Escuro,Carro,3,Às vezes,Noite,20,8,13,2,6,2,10,5,281
25/08/2026 20:50:51,APP90,183,16,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Tarde,24,09,02,04,06,03,05,08,228
25/08/2026 20:50:54,aac21,100,100,Windows,Outra,Outro,Escuro,Carro,4,Frequentemente,Manhã,21,10,2,3,4,4,10,7,412
25/08/2026 20:51:03,low16,184,16,Linux,Python,VS Code,Escuro,Bicicleta,3,Sempre,Tarde,29,04,8,7,4,5,10,7,376
25/08/2026 20:51:10,AYZ08,90,10,Windows,Python,VS Code,Escuro,A pé,1,Às vezes,Tarde,15,10,9,2,6,6,10,9,328
25/08/2026 20:51:17,hsc25,183,16,Windows,Java,VS Code,Escuro,Carro,3,Raramente,Tarde,25,11,5,4,8,4,10,8,432
25/08/2026 21:00:16,ALN15,23,7,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Noite,15,03,12,3,8,5,15,5,325
25/08/2026 20:51:38,Ijh23,22,7,Linux,Outra,Outro,Claro,Carro,3,Sempre,Tarde,20,01,11,4,7,5,15,9,302
25/08/2026 20:53:09,JSG08,23,8,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Madrugada,17,01,5,3,5,4,15,5,472.2
25/08/2026 20:52:39,VJH27,184,17,Windows,Python,VS Code,Escuro,Ônibus,3,Frequentemente,Noite,30,07,8,4,6,6,15,7,454
25/08/2026 20:52:45,a2h8s,19,5,Windows,Outra,VS Code,Escuro,Carro,3,Frequentemente,Tarde,18,01,6,8,4,7,20,5,298
25/08/2026 20:52:49,UGT28,180,16,Windows,Python,VS Code,Escuro,moto,3,Sempre,Noite,16,02,9,3,6,6,15,7,314
25/08/2026 20:53:15,Pit22,184,17,Windows,Python,VS Code,Escuro,A pé,4,Frequentemente,Tarde,22,06,1,4,7,6,7,8,308
